adid,app_version_short,network_name,campaign_name,activity_kind,event_name,created_at_convert,created_at_convert_date,partner_parameters,cif,publisher_parameters,label,first_tracker,tracker_name,adgroup_name,creative_name,reftag,device_manufacturer,city,country,country_subdivision,device_model,device_name,device_type,environment,os_name,os_version,installed_at_convert,installed_at_convert_date,idfa,idfv,gps_adid
0120eb2c8690d5431a07ab905fe93bf4,2.6.1,AccessTrade Affiliate,AT_2094255,event,open_account_complete,2025-10-12 20:13:58,2025-10-12,,,,,1t9pb288,AccessTrade Affiliate::AT_2094255::AT_2094255_MEH,AT_2094255_MEH,,cqKHbQNqjIIsn,OnePlus,,vn,,,9R,phone,production,android,13,2025-10-09 23:05:56,2025-10-09,,,7499c86e-98c9-4951-977c-409ff924dad1
026552f78a67f5216b441cbaca5f3bb8,2.6.1,AccessTrade Affiliate,AT_2087468,event,open_account_complete,2025-10-12 18:22:41,2025-10-12,,,,,1t5d1ecu,AccessTrade Affiliate::AT_2087468::AT_2087468_IGK_40307956ocy,AT_2087468_IGK_40307956ocy,,cVJsTNW0hi4WY,Samsung,,vn,,,GalaxyF02s,phone,production,android,12,2025-10-11 07:52:38,2025-10-11,,,9a105625-4fa7-4a15-82b8-196114da8cde
0311045d58a20959ea499fcf3b9bd496,2.6.1,AccessTrade Affiliate,AT_2097730,event,open_account_complete,2025-10-12 22:33:22,2025-10-12,"{""userid"":""20422107""}",20422107,,,1tgc94mn,AccessTrade Affiliate::AT_2097730::AT_2097730_LTZ_Frtk::x7te7kqq,AT_2097730_LTZ_Frtk,x7te7kqq,c2lAKvGPCXMXO,Apple,,vn,,"iPhone12,5",iPhone11ProMax,phone,production,ios,18.6.2,2025-10-12 22:28:14,2025-10-12,7DB055DA-9B52-4025-92FC-EA5FE4AE93F0,CFFED790-5884-4395-AAE8-26EB6F717D84,
03e367785a24f8d5c69f4768b94922d8,2.6.1,AccessTrade Affiliate,AT_1268968,event,open_account_complete,2025-10-12 14:00:13,2025-10-12,"{""userid"":""20421660""}",20421660,,,1tq4lm1c,AccessTrade Affiliate::AT_1268968::AT_1268968,AT_1268968,,cOVOPNua7HNnE,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone13,4",iPhone12ProMax,phone,production,ios,18.6.2,2025-10-12 13:56:08,2025-10-12,,9F7E2623-0008-4134-89E1-AF22412D372A,
048e46c20f4697fc9b8f3ac7e4535e73,2.6.1,AccessTrade Affiliate,AT_2087468,event,open_account_complete,2025-10-12 20:34:27,2025-10-12,,,,,1tzalv72,AccessTrade Affiliate::AT_2087468::AT_2087468_IGK_386485Z961aJ,AT_2087468_IGK_386485Z961aJ,,cJZU80etIfE97,Infinix,,vn,,,HOT30i,phone,production,android,12,2025-10-11 10:07:13,2025-10-11,,,098c5e2e-eacd-4ad5-9f77-e41c1907893b
04e0071626541bb24421a1e4a7a0ef01,2.6.1,AccessTrade Affiliate,AT_1268968,event,open_account_complete,2025-10-12 11:59:35,2025-10-12,"{""userid"":""20421525""}",20421525,,,1tq4lm1c,AccessTrade Affiliate::AT_1268968::AT_1268968,AT_1268968,,cXCHAG4hPdmSU,Apple,Hanoi,vn,Hanoi,"iPhone14,2",iPhone13Pro,phone,production,ios,16.0,2025-10-12 11:53:26,2025-10-12,5A209CCF-CC05-4434-9C59-A913DFFB05A3,94F4A993-A2AC-4B71-8272-FEEC4F1D6DEC,
0623d2646653b0ba55acaa0240328f69,2.6.1,AccessTrade Affiliate,AT_1302217,event,open_account_complete,2025-10-12 19:48:44,2025-10-12,,,,,1tz88eft,AccessTrade Affiliate::AT_1302217::AT_1302217,AT_1302217,,cTCutAsHKj85O,Huawei,Hanoi,vn,Hanoi,,20Lite/10i,phone,production,android,10,2025-10-10 22:02:52,2025-10-10,,,41486f4b-5090-484b-9e2d-591b32ea4e85
0749576f1d6b6ccee15517a427fa625a,2.6.1,AccessTrade Affiliate,AT_1989221,event,open_account_complete,2025-10-12 20:47:08,2025-10-12,,,,,1t8dnj13,AccessTrade Affiliate::AT_1989221::AT_1989221_MC,AT_1989221_MC,,cqkm6AA1uEj55,OnePlus,,vn,,,7T,phone,production,android,11,2025-10-11 07:08:47,2025-10-11,,,ef6571ab-4788-48e4-8a54-28db9d742306
075fcaa9fb972798eda1b425e7215f85,2.6.1,AccessTrade Affiliate,AT_2087468,event,open_account_complete,2025-10-12 17:09:01,2025-10-12,,,,,1tvy25qf,AccessTrade Affiliate::AT_2087468::AT_2087468_IGK_23740546RY,AT_2087468_IGK_23740546RY,,cLjRrtXmmtqYX,Apple,,vn,,"iPhone14,2",iPhone13Pro,phone,production,ios,18.0,2025-10-09 18:30:25,2025-10-09,0CD14A57-9645-4C74-9E57-6B1932F35A53,68F71D87-97F0-4A99-8FBF-43AE21BCC02E,
0846ad05921da7bd8f738f2f8e7dd568,2.6.1,AccessTrade Affiliate,AT_1268968,event,open_account_complete,2025-10-12 11:08:27,2025-10-12,"{""userid"":""20421454""}",20421454,,,1tq4lm1c,AccessTrade Affiliate::AT_1268968::AT_1268968,AT_1268968,,cRw7reutakziq,Apple,Nha Trang,vn,Khánh Hòa Province,"iPhone11,6",iPhoneXSMax,phone,production,ios,18.2.1,2025-10-12 11:04:24,2025-10-12,99BB5557-12D7-4BFC-8EBC-C3C66798B857,30AB7441-6A2E-4040-8DBF-2212ADC70EDD,
