adid,app_version_short,network_name,campaign_name,activity_kind,event_name,created_at_convert,created_at_convert_date,partner_parameters,publisher_parameters,label,first_tracker,tracker_name,adgroup_name,creative_name,reftag,device_manufacturer,city,country,country_subdivision,device_model,device_name,device_type,environment,os_name,os_version,installed_at_convert,installed_at_convert_date,idfa,idfv,gps_adid
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,open_app,2025-11-18 10:16:49,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,install,,2025-11-18 10:16:50,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,ekyc_start,2025-11-18 10:17:19,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,open_app,2025-11-18 10:22:11,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,ekyc_start,2025-11-18 10:22:25,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,ekyc_start,2025-11-18 10:30:25,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,open_app,2025-11-18 10:37:43,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,ekyc_start,2025-11-18 10:38:06,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,open_account_start,2025-11-18 10:41:27,2025-11-18,,,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
09d394832cba44b3344c6479fa0bac83,2.7.0,Organic,,event,first_login,2025-11-18 10:42:50,2025-11-18,"{""userId"":""20512366""}",,,1m35uaqz,Organic,,,oOQaRbX61fbWq,Samsung,Can Tho,vn,Can Tho,,GalaxyZFlip6,phone,production,android,14,2025-11-18 10:16:50,2025-11-18,,,
